message,label
Thanks for your payment. Your transaction was successful.,0
Your reservation has been confirmed.,0
Thanks for your payment. Your transaction was successful.,0
Send your OTP to verify your prize.,1
Claim your free gift card now. Limited time offer!,1
Claim your exclusive reward before it expires.,1
Your train ticket booking is confirmed.,0
Can you share the meeting link?,0
Your OTP for login is 483921. Do not share it with anyone.,0
Thanks for your payment. Your transaction was successful.,0
The class starts at 9 AM tomorrow.,0
Limited offer! Send your information now.,1
Limited offer! Send your information now.,1
Your exam results are now available.,0
Your payment receipt is available.,0
Can you send me the project report?,0
URGENT! Your bank account will be blocked. Verify your account immediately.,1
The package you ordered is out for delivery.,0
"Congratulations! You have won ₹50,000. Click this link to claim your prize.",1
Limited offer! Send your information now.,1
Act immediately to avoid account suspension.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Limited offer! Send your information now.,1
Your OTP for login is 483921. Do not share it with anyone.,0
Claim your free gift card now. Limited time offer!,1
Your account has suspicious activity. Click here now.,1
Claim your free gift card now. Limited time offer!,1
You have received a reward. Provide your OTP to confirm the transaction.,1
Your KYC has expired. Update immediately using this link.,1
Your monthly statement is now available.,0
The package you ordered is out for delivery.,0
The delivery agent will arrive shortly.,0
Don't forget to bring your ID card.,0
URGENT! Your bank account will be blocked. Verify your account immediately.,1
URGENT: suspicious activity detected. Verify your banking details now.,1
Your electricity bill is ready to view in the official app.,0
Please call me when you reach home.,0
Your order has been shipped and will arrive tomorrow.,0
Your bank account needs urgent verification.,1
Please confirm your attendance for tomorrow.,0
Your Amazon order has been delivered.,0
Your electricity bill is ready to view in the official app.,0
The delivery agent will arrive shortly.,0
Can you share the meeting link?,0
Please check the document I sent you.,0
"You have been selected for a cash reward of ₹1,00,000. Claim now.",1
Click now to receive your free reward.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
FINAL NOTICE! Your account will be permanently deleted today.,1
Verify your card details immediately.,1
Your college assignment deadline is tomorrow.,0
Your account has suspicious activity. Click here now.,1
Your exam results are now available.,0
Your payment receipt is available.,0
Click now to receive your free reward.,1
Click now to receive your free reward.,1
Thanks for your payment. Your transaction was successful.,0
Your Amazon order has been delivered.,0
Your bank account needs urgent verification.,1
URGENT: suspicious activity detected. Verify your banking details now.,1
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
Your order has been shipped and will arrive tomorrow.,0
Meeting has been moved to 3 PM.,0
You have received a reward. Provide your OTP to confirm the transaction.,1
You have received a reward. Provide your OTP to confirm the transaction.,1
Claim your exclusive reward before it expires.,1
"Congratulations! You have won ₹50,000. Click this link to claim your prize.",1
Your payment receipt is available.,0
Please check the document I sent you.,0
Happy birthday! Have a wonderful day.,0
Verify your card details immediately.,1
Verify your card details immediately.,1
The delivery agent will arrive shortly.,0
Your payment receipt is available.,0
You have received a reward. Provide your OTP to confirm the transaction.,1
Your OTP for login is 483921. Do not share it with anyone.,0
Happy birthday! Have a wonderful day.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
Click now to receive your free reward.,1
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Claim your free gift card now. Limited time offer!,1
"You have been selected for a cash reward of ₹1,00,000. Claim now.",1
Reminder: your appointment is scheduled for 10 AM.,0
Claim your exclusive reward before it expires.,1
The class starts at 9 AM tomorrow.,0
Your account has suspicious activity. Click here now.,1
Your exam results are now available.,0
"Hey, are we still meeting tomorrow?",0
Your UPI account is at risk. Click the link to secure your account.,1
Your ATM card will be blocked today. Call this number immediately.,1
Can you send me the project report?,0
URGENT: suspicious activity detected. Verify your banking details now.,1
Meeting has been moved to 3 PM.,0
URGENT! Your bank account will be blocked. Verify your account immediately.,1
Your OTP for login is 483921. Do not share it with anyone.,0
Your order has been shipped and will arrive tomorrow.,0
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
Reminder: your appointment is scheduled for 10 AM.,0
The delivery agent will arrive shortly.,0
Meeting has been moved to 3 PM.,0
Thanks for your payment. Your transaction was successful.,0
Pay a small fee to unlock your reward.,1
Send your OTP to verify your prize.,1
Claim your free gift card now. Limited time offer!,1
Send your OTP to verify your prize.,1
Your bank account needs urgent verification.,1
"Congratulations! You have won ₹50,000. Click this link to claim your prize.",1
You have won a special cash bonus.,1
Your train ticket booking is confirmed.,0
Your train ticket booking is confirmed.,0
"Hey, are we still meeting tomorrow?",0
The delivery agent will arrive shortly.,0
Send your OTP to verify your prize.,1
Please check the document I sent you.,0
Please confirm your attendance for tomorrow.,0
Your KYC has expired. Update immediately using this link.,1
Please call me when you reach home.,0
Your KYC has expired. Update immediately using this link.,1
Pay a small fee to unlock your reward.,1
Your UPI account is at risk. Click the link to secure your account.,1
Your account has suspicious activity. Click here now.,1
Please call me when you reach home.,0
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
Your reservation has been confirmed.,0
Can you send me the project report?,0
Please check the document I sent you.,0
Your account has suspicious activity. Click here now.,1
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
Your KYC has expired. Update immediately using this link.,1
Your train ticket booking is confirmed.,0
Your ATM card will be blocked today. Call this number immediately.,1
Your UPI account is at risk. Click the link to secure your account.,1
Meeting has been moved to 3 PM.,0
Send your OTP to verify your prize.,1
Your electricity bill is ready to view in the official app.,0
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Claim your exclusive reward before it expires.,1
The class starts at 9 AM tomorrow.,0
Claim your exclusive reward before it expires.,1
Act immediately to avoid account suspension.,1
Claim your free gift card now. Limited time offer!,1
Your reservation has been confirmed.,0
Can you share the meeting link?,0
Your exam results are now available.,0
Don't forget to bring your ID card.,0
You have won a special cash bonus.,1
Your college assignment deadline is tomorrow.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
Your monthly statement is now available.,0
Please call me when you reach home.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
Happy birthday! Have a wonderful day.,0
The delivery agent will arrive shortly.,0
Your ATM card will be blocked today. Call this number immediately.,1
Your account has been suspended. Click here to restore access.,1
Claim your exclusive reward before it expires.,1
Don't forget to bring your ID card.,0
The class starts at 9 AM tomorrow.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
You have received a reward. Provide your OTP to confirm the transaction.,1
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
Your order has been shipped and will arrive tomorrow.,0
Your train ticket booking is confirmed.,0
Your subscription has been renewed successfully.,0
Limited offer! Send your information now.,1
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
Your ATM card will be blocked today. Call this number immediately.,1
Click now to receive your free reward.,1
You have received a reward. Provide your OTP to confirm the transaction.,1
Reminder: your appointment is scheduled for 10 AM.,0
Your UPI account is at risk. Click the link to secure your account.,1
Your payment receipt is available.,0
Your bank account needs urgent verification.,1
Your reservation has been confirmed.,0
Please check the document I sent you.,0
Your account has been suspended. Click here to restore access.,1
Please check the document I sent you.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
WINNER! You have won a brand new iPhone. Send your details to claim.,1
Can you share the meeting link?,0
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Reminder: your appointment is scheduled for 10 AM.,0
Meeting has been moved to 3 PM.,0
"Hey, are we still meeting tomorrow?",0
Your bank account needs urgent verification.,1
URGENT! Your bank account will be blocked. Verify your account immediately.,1
Claim your exclusive reward before it expires.,1
Click now to receive your free reward.,1
URGENT! Your bank account will be blocked. Verify your account immediately.,1
Click now to receive your free reward.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Your monthly statement is now available.,0
Your KYC has expired. Update immediately using this link.,1
Your Amazon order has been delivered.,0
Your subscription has been renewed successfully.,0
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
The package you ordered is out for delivery.,0
WINNER! You have won a brand new iPhone. Send your details to claim.,1
Your subscription has been renewed successfully.,0
Your OTP for login is 483921. Do not share it with anyone.,0
Don't forget to bring your ID card.,0
Your order has been shipped and will arrive tomorrow.,0
Don't forget to bring your ID card.,0
URGENT: suspicious activity detected. Verify your banking details now.,1
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
FINAL NOTICE! Your account will be permanently deleted today.,1
Happy birthday! Have a wonderful day.,0
"Hey, are we still meeting tomorrow?",0
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Your Amazon order has been delivered.,0
"You won a lottery prize of ₹25,00,000. Pay the tax to receive your money.",1
The package you ordered is out for delivery.,0
The class starts at 9 AM tomorrow.,0
Your train ticket booking is confirmed.,0
Thanks for your payment. Your transaction was successful.,0
Claim your free gift card now. Limited time offer!,1
Meeting has been moved to 3 PM.,0
Please confirm your attendance for tomorrow.,0
Claim your exclusive reward before it expires.,1
Your Amazon order has been delivered.,0
Pay a small fee to unlock your reward.,1
Your college assignment deadline is tomorrow.,0
Limited offer! Send your information now.,1
Congratulations! You are eligible for a guaranteed loan. Pay processing fee now.,1
Your payment receipt is available.,0
Your bank account needs urgent verification.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
Your train ticket booking is confirmed.,0
Your payment receipt is available.,0
You have received a reward. Provide your OTP to confirm the transaction.,1
FINAL NOTICE! Your account will be permanently deleted today.,1
Your OTP for login is 483921. Do not share it with anyone.,0
Meeting has been moved to 3 PM.,0
Send your OTP to verify your prize.,1
Please call me when you reach home.,0
Your OTP for login is 483921. Do not share it with anyone.,0
"You have been selected for a cash reward of ₹1,00,000. Claim now.",1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
The package you ordered is out for delivery.,0
Claim your exclusive reward before it expires.,1
Send your OTP to verify your prize.,1
Send your OTP to verify your prize.,1
Claim your free gift card now. Limited time offer!,1
Your subscription has been renewed successfully.,0
Pay a small fee to unlock your reward.,1
Send your OTP to verify your prize.,1
Please call me when you reach home.,0
Your payment receipt is available.,0
The delivery agent will arrive shortly.,0
Meeting has been moved to 3 PM.,0
Claim your exclusive reward before it expires.,1
Pay a small fee to unlock your reward.,1
Thanks for your payment. Your transaction was successful.,0
Can you share the meeting link?,0
Your order has been shipped and will arrive tomorrow.,0
Your account has suspicious activity. Click here now.,1
WINNER! You have won a brand new iPhone. Send your details to claim.,1
URGENT: suspicious activity detected. Verify your banking details now.,1
Reminder: your appointment is scheduled for 10 AM.,0
Your KYC has expired. Update immediately using this link.,1
Your payment receipt is available.,0
Don't forget to bring your ID card.,0
Verify your card details immediately.,1
Meeting has been moved to 3 PM.,0
Your order has been shipped and will arrive tomorrow.,0
Your account has been suspended. Click here to restore access.,1
FINAL NOTICE! Your account will be permanently deleted today.,1
"Hey, are we still meeting tomorrow?",0
Can you share the meeting link?,0
Can you send me the project report?,0
Your monthly statement is now available.,0
The class starts at 9 AM tomorrow.,0
Happy birthday! Have a wonderful day.,0
Happy birthday! Have a wonderful day.,0
Your train ticket booking is confirmed.,0
Limited offer! Send your information now.,1
Your payment receipt is available.,0
You have won a special cash bonus.,1
Your payment receipt is available.,0
WINNER! You have won a brand new iPhone. Send your details to claim.,1
Claim your exclusive reward before it expires.,1
FINAL NOTICE! Your account will be permanently deleted today.,1
FINAL NOTICE! Your account will be permanently deleted today.,1
URGENT: suspicious activity detected. Verify your banking details now.,1
"Exclusive job opportunity! Earn ₹50,000 per month from home. Pay registration fee.",1
"You have been selected for a cash reward of ₹1,00,000. Claim now.",1
Your college assignment deadline is tomorrow.,0
URGENT! Your bank account will be blocked. Verify your account immediately.,1
Please confirm your attendance for tomorrow.,0
Can you send me the project report?,0
Your Amazon order has been delivered.,0
Meeting has been moved to 3 PM.,0
Your account has been suspended. Click here to restore access.,1
Your KYC has expired. Update immediately using this link.,1
Don't forget to bring your ID card.,0
The package you ordered is out for delivery.,0
Meeting has been moved to 3 PM.,0
